,id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,bathrooms,bedrooms
0,2015,Mitte,Brunnenstr. Süd,52.53453732241747,13.402556926822387,Entire home/apt,60,4,4,141,1.0,1.0
1,2695,Pankow,Prenzlauer Berg Nordwest,52.54851279221664,13.404552826587464,Private room,17,2,1,0,1.0,1.0
2,3176,Pankow,Prenzlauer Berg Südwest,52.53499619158672,13.417578665333295,Entire home/apt,90,62,1,220,1.0,1.0
3,3309,Tempelhof - Schöneberg,Schöneberg-Nord,52.498854933130026,13.34906453348717,Private room,26,5,1,297,1.0,1.0
4,7071,Pankow,Helmholtzplatz,52.543157263313105,13.415091104515707,Private room,42,2,1,26,1.0,1.0
5,9991,Pankow,Prenzlauer Berg Südwest,52.53303076802682,13.416046823956403,Entire home/apt,180,6,1,137,2.5,4.0
6,14325,Pankow,Prenzlauer Berg Nordwest,52.547846407992154,13.405562243722455,Entire home/apt,70,90,3,129,1.0,0.0
7,16401,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51051399601543,13.457850238106197,Private room,120,30,1,365,1.0,1.0
8,16644,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.504792273859145,13.435101853886053,Entire home/apt,90,60,2,159,1.0,1.0
9,17409,Pankow,Prenzlauer Berg Südwest,52.529070924673775,13.412843393984936,Private room,45,3,1,42,1.0,1.0
11,20858,Pankow,Prenzlauer Berg Südwest,52.53695243192395,13.407615032621536,Entire home/apt,129,3,1,166,1.0,2.0
12,21869,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.502733334069404,13.434619857852766,Entire home/apt,70,60,2,129,1.0,1.0
13,22415,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49485061986592,13.428500598140365,Entire home/apt,98,3,2,257,1.0,2.0
14,22677,Mitte,Brunnenstr. Süd,52.53434836322022,13.405576517191427,Entire home/apt,160,3,1,228,1.0,1.0
15,23834,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48971442632367,13.379747575408965,Entire home/apt,65,60,1,275,1.0,1.0
16,24569,Pankow,Prenzlauer Berg Südwest,52.53079085230837,13.41808443901994,Entire home/apt,90,3,2,3,2.5,2.0
17,25653,Pankow,Prenzlauer Berg Süd,52.53025873628243,13.419466962263806,Entire home/apt,90,4,2,15,2.5,2.0
18,26543,Pankow,Helmholtzplatz,52.544062391196874,13.421376521988275,Entire home/apt,197,3,1,336,2.0,2.0
19,28156,Pankow,Prenzlauer Berg Nordwest,52.546719368149425,13.405117021304426,Entire home/apt,70,90,3,191,1.0,0.0
20,28268,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51338523184102,13.469947507779649,Entire home/apt,90,5,1,55,1.0,2.0
